# ID_sensore;dataora;valore
SENZA010141;2019-01-14 00:08:00;1020
SENZA010142;2019-01-14 00:08:00;1024
SENZA010143;2019-01-14 00:08:00;1020
SENZA010144;2019-01-14 00:08:00;1025
SENZA010145;2019-01-14 00:08:00;1027
SENZA010146;2019-01-14 00:08:00;1019
SENZA010147;2019-01-14 00:08:00;1018
SENZA010148;2019-01-14 00:08:00;1019
SENZA010149;2019-01-14 00:08:00;1019
SENZA010150;2019-01-14 00:08:00;1022
SENZA010251;2019-01-14 00:08:00;1017
SENZA010252;2019-01-14 00:08:00;1030
SENZA010253;2019-01-14 00:08:00;1030
SENZA010254;2019-01-14 00:08:00;1016
SENZA010255;2019-01-14 00:08:00;1017
SENZA010256;2019-01-14 00:08:00;1017
SENZA010257;2019-01-14 00:08:00;1022
SENZA010258;2019-01-14 00:08:00;1030
SENZA010259;2019-01-14 00:08:00;1015
SENZA010260;2019-01-14 00:08:00;1026
SENZA010261;2019-01-14 00:08:00;1023
SENZA010262;2019-01-14 00:08:00;1030
SENZA010263;2019-01-14 00:08:00;1015
SENZA010264;2019-01-14 00:08:00;1022
SENZA010265;2019-01-14 00:08:00;1027
SENZA010266;2019-01-14 00:08:00;1027
SENZA010267;2019-01-14 00:08:00;1030
SENZA010268;2019-01-14 00:08:00;1020
SENZA010269;2019-01-14 00:08:00;1017
SENZA010270;2019-01-14 00:08:00;1022
SENZA010271;2019-01-14 00:08:00;1017
SENZA010272;2019-01-14 00:08:00;1029
SENZA010273;2019-01-14 00:08:00;1023
SENZA010274;2019-01-14 00:08:00;1023
SENZA010275;2019-01-14 00:08:00;1020
SENZA010276;2019-01-14 00:08:00;1022
SENZA010277;2019-01-14 00:08:00;1015
SENZA010278;2019-01-14 00:08:00;1016
SENZA010279;2019-01-14 00:08:00;1025
SENZA010280;2019-01-14 00:08:00;1029
SENZA010281;2019-01-14 00:08:00;1021
SENZA010282;2019-01-14 00:08:00;1021
SENZA010283;2019-01-14 00:08:00;1022
SENZA010284;2019-01-14 00:08:00;1027
SENZA010285;2019-01-14 00:08:00;1026
SENZA010286;2019-01-14 00:08:00;1028
SENZA010287;2019-01-14 00:08:00;1029
SENZA010288;2019-01-14 00:08:00;1025
SENZA010289;2019-01-14 00:08:00;1020
SENZA010290;2019-01-14 00:08:00;1019
SENZA010291;2019-01-14 00:08:00;1018
SENZA010292;2019-01-14 00:08:00;1023
SENZA010293;2019-01-14 00:08:00;1019
SENZA010294;2019-01-14 00:08:00;1029
SENZA010295;2019-01-14 00:08:00;1018
SENZA010296;2019-01-14 00:08:00;1027
SENZA010297;2019-01-14 00:08:00;1019
SENZA010298;2019-01-14 00:08:00;1016
SENZA010299;2019-01-14 00:08:00;1030
SENZA010300;2019-01-14 00:08:00;1027
SENZA010356;2019-01-14 00:08:00;1028
SENZA010357;2019-01-14 00:08:00;1015
SENZA010358;2019-01-14 00:08:00;1022
SENZA010359;2019-01-14 00:08:00;1024
SENZA010360;2019-01-14 00:08:00;1016
SENZA010471;2019-01-14 00:08:00;1023
SENZA010472;2019-01-14 00:08:00;1030
SENZA010473;2019-01-14 00:08:00;1017
SENZA010474;2019-01-14 00:08:00;1020
SENZA010475;2019-01-14 00:08:00;1022
SENZA010476;2019-01-14 00:08:00;1019
SENZA010477;2019-01-14 00:08:00;1028
SENZA010478;2019-01-14 00:08:00;1027
SENZA010479;2019-01-14 00:08:00;1026
SENZA010480;2019-01-14 00:08:00;1018
SENZA010481;2019-01-14 00:08:00;1025
SENZA010482;2019-01-14 00:08:00;1025
SENZA010483;2019-01-14 00:08:00;1024
SENZA010484;2019-01-14 00:08:00;1016
SENZA010485;2019-01-14 00:08:00;1017
SENZA010486;2019-01-14 00:08:00;1030
SENZA010487;2019-01-14 00:08:00;1024
SENZA010488;2019-01-14 00:08:00;1015
SENZA010489;2019-01-14 00:08:00;1015
SENZA010490;2019-01-14 00:08:00;1019
SENZA010491;2019-01-14 00:08:00;1015
SENZA010492;2019-01-14 00:08:00;1026
SENZA010493;2019-01-14 00:08:00;1024
SENZA010494;2019-01-14 00:08:00;1019
SENZA010495;2019-01-14 00:08:00;1020
SENZA010496;2019-01-14 00:08:00;1020
SENZA010497;2019-01-14 00:08:00;1015
SENZA010498;2019-01-14 00:08:00;1015
SENZA010499;2019-01-14 00:08:00;1020
SENZA010500;2019-01-14 00:08:00;1020
SENZA010576;2019-01-14 00:08:00;1017
SENZA010577;2019-01-14 00:08:00;1027
SENZA010578;2019-01-14 00:08:00;1020
SENZA010579;2019-01-14 00:08:00;1030
SENZA010580;2019-01-14 00:08:00;1020
SENZA010581;2019-01-14 00:08:00;1023
SENZA010582;2019-01-14 00:08:00;1015
SENZA010583;2019-01-14 00:08:00;1024
SENZA010584;2019-01-14 00:08:00;1027
SENZA010585;2019-01-14 00:08:00;1026
SENZA010586;2019-01-14 00:08:00;1030
SENZA010587;2019-01-14 00:08:00;1020
SENZA010588;2019-01-14 00:08:00;1029
SENZA010589;2019-01-14 00:08:00;1018
SENZA010590;2019-01-14 00:08:00;1020
SENZA010591;2019-01-14 00:08:00;1030
SENZA010592;2019-01-14 00:08:00;1018
SENZA010593;2019-01-14 00:08:00;1025
SENZA010594;2019-01-14 00:08:00;1019
SENZA010595;2019-01-14 00:08:00;1021
SENZA010596;2019-01-14 00:08:00;1025
SENZA010597;2019-01-14 00:08:00;1028
SENZA010598;2019-01-14 00:08:00;1015
SENZA010599;2019-01-14 00:08:00;1020
SENZA010600;2019-01-14 00:08:00;1016
SENZA010656;2019-01-14 00:08:00;1025
SENZA010657;2019-01-14 00:08:00;1029
SENZA010658;2019-01-14 00:08:00;1025
SENZA010659;2019-01-14 00:08:00;1023
SENZA010660;2019-01-14 00:08:00;1019
SENZA010771;2019-01-14 00:08:00;1022
SENZA010772;2019-01-14 00:08:00;1019
SENZA010773;2019-01-14 00:08:00;1019
SENZA010774;2019-01-14 00:08:00;1016
SENZA010775;2019-01-14 00:08:00;1019
SENZA010776;2019-01-14 00:08:00;1028
SENZA010777;2019-01-14 00:08:00;1020
SENZA010778;2019-01-14 00:08:00;1015
